"local_date_time","UTC_date_time","height","phenomenon"
2017-06-10 16:11:00,2017-06-10 15:11:00,3.2,"high-tide"
2017-06-10 22:04:00,2017-06-10 21:04:00,0.8,"low-tide"
2017-06-11 04:28:00,2017-06-11 03:28:00,3,"high-tide"
2017-06-11 10:11:00,2017-06-11 09:11:00,0.9,"low-tide"
2017-06-11 16:45:00,2017-06-11 15:45:00,3.2,"high-tide"
2017-06-11 22:38:00,2017-06-11 21:38:00,0.9,"low-tide"
2017-06-12 05:02:00,2017-06-12 04:02:00,3,"high-tide"
2017-06-12 10:44:00,2017-06-12 09:44:00,0.9,"low-tide"
2017-06-12 17:19:00,2017-06-12 16:19:00,3.2,"high-tide"
2017-06-12 23:13:00,2017-06-12 22:13:00,0.9,"low-tide"
2017-06-13 05:38:00,2017-06-13 04:38:00,2.9,"high-tide"
2017-06-13 11:19:00,2017-06-13 10:19:00,1,"low-tide"
2017-06-13 17:56:00,2017-06-13 16:56:00,3.1,"high-tide"
2017-06-13 23:51:00,2017-06-13 22:51:00,1,"low-tide"
2017-06-14 06:17:00,2017-06-14 05:17:00,2.8,"high-tide"
2017-06-14 11:59:00,2017-06-14 10:59:00,1.1,"low-tide"
2017-06-14 18:36:00,2017-06-14 17:36:00,3,"high-tide"
2017-06-15 00:35:00,2017-06-14 23:35:00,1,"low-tide"
2017-06-15 07:02:00,2017-06-15 06:02:00,2.8,"high-tide"
2017-06-15 12:46:00,2017-06-15 11:46:00,1.2,"low-tide"
2017-06-15 19:23:00,2017-06-15 18:23:00,2.9,"high-tide"
2017-06-16 01:26:00,2017-06-16 00:26:00,1.1,"low-tide"
2017-06-16 07:55:00,2017-06-16 06:55:00,2.7,"high-tide"
2017-06-16 13:41:00,2017-06-16 12:41:00,1.3,"low-tide"
2017-06-16 20:19:00,2017-06-16 19:19:00,2.9,"high-tide"
2017-06-17 02:26:00,2017-06-17 01:26:00,1.2,"low-tide"
2017-06-17 08:59:00,2017-06-17 07:59:00,2.7,"high-tide"
2017-06-17 14:48:00,2017-06-17 13:48:00,1.3,"low-tide"
2017-06-17 21:24:00,2017-06-17 20:24:00,2.8,"high-tide"
2017-06-18 03:34:00,2017-06-18 02:34:00,1.2,"low-tide"
2017-06-18 10:09:00,2017-06-18 09:09:00,2.7,"high-tide"
2017-06-18 16:02:00,2017-06-18 15:02:00,1.3,"low-tide"
2017-06-18 22:34:00,2017-06-18 21:34:00,2.9,"high-tide"
2017-06-19 04:43:00,2017-06-19 03:43:00,1.1,"low-tide"
2017-06-19 11:15:00,2017-06-19 10:15:00,2.9,"high-tide"
2017-06-19 17:13:00,2017-06-19 16:13:00,1.1,"low-tide"
2017-06-19 23:39:00,2017-06-19 22:39:00,3,"high-tide"
2017-06-20 05:46:00,2017-06-20 04:46:00,0.9,"low-tide"
2017-06-20 12:14:00,2017-06-20 11:14:00,3,"high-tide"
2017-06-20 18:15:00,2017-06-20 17:15:00,1,"low-tide"
2017-06-21 00:38:00,2017-06-20 23:38:00,3.1,"high-tide"
2017-06-21 06:43:00,2017-06-21 05:43:00,0.8,"low-tide"
2017-06-21 13:09:00,2017-06-21 12:09:00,3.2,"high-tide"
2017-06-21 19:11:00,2017-06-21 18:11:00,0.7,"low-tide"
2017-06-22 01:33:00,2017-06-22 00:33:00,3.3,"high-tide"
2017-06-22 07:35:00,2017-06-22 06:35:00,0.6,"low-tide"
2017-06-22 14:01:00,2017-06-22 13:01:00,3.4,"high-tide"
2017-06-22 20:03:00,2017-06-22 19:03:00,0.6,"low-tide"
2017-06-23 02:26:00,2017-06-23 01:26:00,3.4,"high-tide"
2017-06-23 08:25:00,2017-06-23 07:25:00,0.5,"low-tide"
2017-06-23 14:53:00,2017-06-23 13:53:00,3.5,"high-tide"
2017-06-23 20:54:00,2017-06-23 19:54:00,0.4,"low-tide"
2017-06-24 03:18:00,2017-06-24 02:18:00,3.5,"high-tide"
2017-06-24 09:13:00,2017-06-24 08:13:00,0.4,"low-tide"
2017-06-24 15:43:00,2017-06-24 14:43:00,3.6,"high-tide"
2017-06-24 21:43:00,2017-06-24 20:43:00,0.4,"low-tide"
2017-06-25 04:09:00,2017-06-25 03:09:00,3.5,"high-tide"
2017-06-25 10:00:00,2017-06-25 09:00:00,0.5,"low-tide"
2017-06-25 16:33:00,2017-06-25 15:33:00,3.6,"high-tide"
2017-06-25 22:31:00,2017-06-25 21:31:00,0.4,"low-tide"
2017-06-26 04:59:00,2017-06-26 03:59:00,3.4,"high-tide"
2017-06-26 10:46:00,2017-06-26 09:46:00,0.5,"low-tide"
2017-06-26 17:21:00,2017-06-26 16:21:00,3.6,"high-tide"
2017-06-26 23:19:00,2017-06-26 22:19:00,0.4,"low-tide"
2017-06-27 05:48:00,2017-06-27 04:48:00,3.3,"high-tide"
2017-06-27 11:31:00,2017-06-27 10:31:00,0.7,"low-tide"
2017-06-27 18:10:00,2017-06-27 17:10:00,3.5,"high-tide"
2017-06-28 00:07:00,2017-06-27 23:07:00,0.6,"low-tide"
2017-06-28 06:37:00,2017-06-28 05:37:00,3.1,"high-tide"
2017-06-28 12:18:00,2017-06-28 11:18:00,0.8,"low-tide"
2017-06-28 19:00:00,2017-06-28 18:00:00,3.3,"high-tide"
2017-06-29 00:57:00,2017-06-28 23:57:00,0.8,"low-tide"
2017-06-29 07:28:00,2017-06-29 06:28:00,3,"high-tide"
2017-06-29 13:08:00,2017-06-29 12:08:00,1,"low-tide"
2017-06-29 19:52:00,2017-06-29 18:52:00,3.1,"high-tide"
2017-06-30 01:51:00,2017-06-30 00:51:00,1,"low-tide"
2017-06-30 08:22:00,2017-06-30 07:22:00,2.8,"high-tide"
2017-06-30 14:05:00,2017-06-30 13:05:00,1.2,"low-tide"
2017-06-30 20:47:00,2017-06-30 19:47:00,2.9,"high-tide"
2017-07-01 02:51:00,2017-07-01 01:51:00,1.2,"low-tide"
2017-07-01 09:21:00,2017-07-01 08:21:00,2.7,"high-tide"
2017-07-01 15:11:00,2017-07-01 14:11:00,1.3,"low-tide"
2017-07-01 21:48:00,2017-07-01 20:48:00,2.8,"high-tide"
2017-07-02 03:59:00,2017-07-02 02:59:00,1.3,"low-tide"
2017-07-02 10:25:00,2017-07-02 09:25:00,2.7,"high-tide"
2017-07-02 16:27:00,2017-07-02 15:27:00,1.4,"low-tide"
2017-07-02 22:53:00,2017-07-02 21:53:00,2.7,"high-tide"
2017-07-03 05:06:00,2017-07-03 04:06:00,1.3,"low-tide"
2017-07-03 11:29:00,2017-07-03 10:29:00,2.7,"high-tide"
2017-07-03 17:37:00,2017-07-03 16:37:00,1.3,"low-tide"
2017-07-03 23:54:00,2017-07-03 22:54:00,2.7,"high-tide"
2017-07-04 06:04:00,2017-07-04 05:04:00,1.2,"low-tide"
2017-07-04 12:25:00,2017-07-04 11:25:00,2.8,"high-tide"
2017-07-04 18:34:00,2017-07-04 17:34:00,1.3,"low-tide"
2017-07-05 00:48:00,2017-07-04 23:48:00,2.8,"high-tide"
2017-07-05 06:53:00,2017-07-05 05:53:00,1.2,"low-tide"
2017-07-05 13:13:00,2017-07-05 12:13:00,2.9,"high-tide"
2017-07-05 19:22:00,2017-07-05 18:22:00,1.2,"low-tide"
2017-07-06 01:34:00,2017-07-06 00:34:00,2.8,"high-tide"
2017-07-06 07:35:00,2017-07-06 06:35:00,1.1,"low-tide"
2017-07-06 13:57:00,2017-07-06 12:57:00,3,"high-tide"
2017-07-06 20:03:00,2017-07-06 19:03:00,1.1,"low-tide"
2017-07-07 02:16:00,2017-07-07 01:16:00,2.9,"high-tide"
2017-07-07 08:13:00,2017-07-07 07:13:00,1,"low-tide"
2017-07-07 14:37:00,2017-07-07 13:37:00,3.1,"high-tide"
2017-07-07 20:41:00,2017-07-07 19:41:00,1,"low-tide"
2017-07-08 02:55:00,2017-07-08 01:55:00,3,"high-tide"
2017-07-08 08:47:00,2017-07-08 07:47:00,0.9,"low-tide"
2017-07-08 15:15:00,2017-07-08 14:15:00,3.2,"high-tide"
2017-07-08 21:15:00,2017-07-08 20:15:00,0.9,"low-tide"
2017-07-09 03:32:00,2017-07-09 02:32:00,3,"high-tide"
2017-07-09 09:20:00,2017-07-09 08:20:00,0.9,"low-tide"
2017-07-09 15:51:00,2017-07-09 14:51:00,3.2,"high-tide"
2017-07-09 21:48:00,2017-07-09 20:48:00,0.8,"low-tide"
2017-07-10 04:08:00,2017-07-10 03:08:00,3,"high-tide"
2017-07-10 09:53:00,2017-07-10 08:53:00,0.8,"low-tide"
2017-07-10 16:26:00,2017-07-10 15:26:00,3.2,"high-tide"
2017-07-10 22:21:00,2017-07-10 21:21:00,0.8,"low-tide"
2017-07-11 04:44:00,2017-07-11 03:44:00,3.1,"high-tide"
2017-07-11 10:27:00,2017-07-11 09:27:00,0.8,"low-tide"
2017-07-11 17:02:00,2017-07-11 16:02:00,3.3,"high-tide"
2017-07-11 22:56:00,2017-07-11 21:56:00,0.8,"low-tide"
2017-07-12 05:20:00,2017-07-12 04:20:00,3,"high-tide"
2017-07-12 11:03:00,2017-07-12 10:03:00,0.8,"low-tide"
2017-07-12 17:38:00,2017-07-12 16:38:00,3.2,"high-tide"
2017-07-12 23:33:00,2017-07-12 22:33:00,0.8,"low-tide"
2017-07-13 05:59:00,2017-07-13 04:59:00,3,"high-tide"
2017-07-13 11:42:00,2017-07-13 10:42:00,0.9,"low-tide"
2017-07-13 18:18:00,2017-07-13 17:18:00,3.2,"high-tide"
2017-07-14 00:13:00,2017-07-13 23:13:00,0.8,"low-tide"
2017-07-14 06:41:00,2017-07-14 05:41:00,2.9,"high-tide"
2017-07-14 12:25:00,2017-07-14 11:25:00,1,"low-tide"
2017-07-14 19:01:00,2017-07-14 18:01:00,3.1,"high-tide"
2017-07-15 00:58:00,2017-07-14 23:58:00,0.9,"low-tide"
2017-07-15 07:28:00,2017-07-15 06:28:00,2.9,"high-tide"
2017-07-15 13:14:00,2017-07-15 12:14:00,1.1,"low-tide"
2017-07-15 19:50:00,2017-07-15 18:50:00,3,"high-tide"
2017-07-16 01:50:00,2017-07-16 00:50:00,1,"low-tide"
2017-07-16 08:23:00,2017-07-16 07:23:00,2.8,"high-tide"
2017-07-16 14:12:00,2017-07-16 13:12:00,1.2,"low-tide"
2017-07-16 20:49:00,2017-07-16 19:49:00,2.9,"high-tide"
2017-07-17 02:52:00,2017-07-17 01:52:00,1.1,"low-tide"
2017-07-17 09:28:00,2017-07-17 08:28:00,2.8,"high-tide"
2017-07-17 15:21:00,2017-07-17 14:21:00,1.2,"low-tide"
2017-07-17 21:57:00,2017-07-17 20:57:00,2.9,"high-tide"
2017-07-18 04:02:00,2017-07-18 03:02:00,1.1,"low-tide"
2017-07-18 10:39:00,2017-07-18 09:39:00,2.8,"high-tide"
2017-07-18 16:38:00,2017-07-18 15:38:00,1.2,"low-tide"
2017-07-18 23:09:00,2017-07-18 22:09:00,2.9,"high-tide"
2017-07-19 05:15:00,2017-07-19 04:15:00,1,"low-tide"
2017-07-19 11:47:00,2017-07-19 10:47:00,3,"high-tide"
2017-07-19 17:52:00,2017-07-19 16:52:00,1,"low-tide"
2017-07-20 00:16:00,2017-07-19 23:16:00,3,"high-tide"
2017-07-20 06:21:00,2017-07-20 05:21:00,0.9,"low-tide"
2017-07-20 12:48:00,2017-07-20 11:48:00,3.1,"high-tide"
2017-07-20 18:55:00,2017-07-20 17:55:00,0.8,"low-tide"
2017-07-21 01:17:00,2017-07-21 00:17:00,3.1,"high-tide"
2017-07-21 07:19:00,2017-07-21 06:19:00,0.8,"low-tide"
2017-07-21 13:45:00,2017-07-21 12:45:00,3.3,"high-tide"
2017-07-21 19:52:00,2017-07-21 18:52:00,0.6,"low-tide"
2017-07-22 02:13:00,2017-07-22 01:13:00,3.3,"high-tide"
2017-07-22 08:12:00,2017-07-22 07:12:00,0.6,"low-tide"
2017-07-22 14:39:00,2017-07-22 13:39:00,3.5,"high-tide"
2017-07-22 20:45:00,2017-07-22 19:45:00,0.5,"low-tide"
2017-07-23 03:06:00,2017-07-23 02:06:00,3.4,"high-tide"
2017-07-23 09:01:00,2017-07-23 08:01:00,0.5,"low-tide"
2017-07-23 15:30:00,2017-07-23 14:30:00,3.6,"high-tide"
2017-07-23 21:33:00,2017-07-23 20:33:00,0.4,"low-tide"
2017-07-24 03:56:00,2017-07-24 02:56:00,3.4,"high-tide"
2017-07-24 09:47:00,2017-07-24 08:47:00,0.5,"low-tide"
2017-07-24 16:18:00,2017-07-24 15:18:00,3.6,"high-tide"
2017-07-24 22:18:00,2017-07-24 21:18:00,0.4,"low-tide"
2017-07-25 04:42:00,2017-07-25 03:42:00,3.4,"high-tide"
2017-07-25 10:31:00,2017-07-25 09:31:00,0.5,"low-tide"
2017-07-25 17:04:00,2017-07-25 16:04:00,3.6,"high-tide"
2017-07-25 23:02:00,2017-07-25 22:02:00,0.4,"low-tide"
2017-07-26 05:27:00,2017-07-26 04:27:00,3.3,"high-tide"
2017-07-26 11:12:00,2017-07-26 10:12:00,0.6,"low-tide"
2017-07-26 17:48:00,2017-07-26 16:48:00,3.5,"high-tide"
2017-07-26 23:43:00,2017-07-26 22:43:00,0.6,"low-tide"
2017-07-27 06:10:00,2017-07-27 05:10:00,3.2,"high-tide"
2017-07-27 11:53:00,2017-07-27 10:53:00,0.7,"low-tide"
2017-07-27 18:32:00,2017-07-27 17:32:00,3.3,"high-tide"
2017-07-28 00:25:00,2017-07-27 23:25:00,0.7,"low-tide"
2017-07-28 06:54:00,2017-07-28 05:54:00,3,"high-tide"
2017-07-28 12:36:00,2017-07-28 11:36:00,0.9,"low-tide"
2017-07-28 19:17:00,2017-07-28 18:17:00,3.1,"high-tide"
2017-07-29 01:09:00,2017-07-29 00:09:00,1,"low-tide"
2017-07-29 07:40:00,2017-07-29 06:40:00,2.9,"high-tide"
2017-07-29 13:22:00,2017-07-29 12:22:00,1.1,"low-tide"
2017-07-29 20:04:00,2017-07-29 19:04:00,2.9,"high-tide"
2017-07-30 01:57:00,2017-07-30 00:57:00,1.2,"low-tide"
2017-07-30 08:31:00,2017-07-30 07:31:00,2.7,"high-tide"
2017-07-30 14:16:00,2017-07-30 13:16:00,1.3,"low-tide"
2017-07-30 20:58:00,2017-07-30 19:58:00,2.7,"high-tide"
2017-07-31 02:56:00,2017-07-31 01:56:00,1.3,"low-tide"
2017-07-31 09:31:00,2017-07-31 08:31:00,2.6,"high-tide"
2017-07-31 15:27:00,2017-07-31 14:27:00,1.4,"low-tide"
2017-07-31 22:02:00,2017-07-31 21:02:00,2.6,"high-tide"
2017-08-01 04:10:00,2017-08-01 03:10:00,1.4,"low-tide"
2017-08-01 10:40:00,2017-08-01 09:40:00,2.6,"high-tide"
2017-08-01 16:54:00,2017-08-01 15:54:00,1.5,"low-tide"
2017-08-01 23:12:00,2017-08-01 22:12:00,2.6,"high-tide"
2017-08-02 05:25:00,2017-08-02 04:25:00,1.4,"low-tide"
2017-08-02 11:48:00,2017-08-02 10:48:00,2.7,"high-tide"
2017-08-02 18:06:00,2017-08-02 17:06:00,1.4,"low-tide"
2017-08-03 00:16:00,2017-08-02 23:16:00,2.6,"high-tide"
2017-08-03 06:25:00,2017-08-03 05:25:00,1.3,"low-tide"
2017-08-03 12:44:00,2017-08-03 11:44:00,2.8,"high-tide"
2017-08-03 19:00:00,2017-08-03 18:00:00,1.3,"low-tide"
2017-08-04 01:09:00,2017-08-04 00:09:00,2.7,"high-tide"
2017-08-04 07:12:00,2017-08-04 06:12:00,1.2,"low-tide"
2017-08-04 13:32:00,2017-08-04 12:32:00,2.9,"high-tide"
2017-08-04 19:44:00,2017-08-04 18:44:00,1.1,"low-tide"
2017-08-05 01:53:00,2017-08-05 00:53:00,2.8,"high-tide"
2017-08-05 07:52:00,2017-08-05 06:52:00,1.1,"low-tide"
2017-08-05 14:13:00,2017-08-05 13:13:00,3,"high-tide"
2017-08-05 20:22:00,2017-08-05 19:22:00,1,"low-tide"
2017-08-06 02:33:00,2017-08-06 01:33:00,2.9,"high-tide"
2017-08-06 08:28:00,2017-08-06 07:28:00,1,"low-tide"
2017-08-06 14:52:00,2017-08-06 13:52:00,3.2,"high-tide"
2017-08-06 20:55:00,2017-08-06 19:55:00,0.9,"low-tide"
2017-08-07 03:11:00,2017-08-07 02:11:00,3,"high-tide"
2017-08-07 09:01:00,2017-08-07 08:01:00,0.8,"low-tide"
2017-08-07 15:29:00,2017-08-07 14:29:00,3.3,"high-tide"
2017-08-07 21:28:00,2017-08-07 20:28:00,0.7,"low-tide"
2017-08-08 03:47:00,2017-08-08 02:47:00,3.1,"high-tide"
2017-08-08 09:35:00,2017-08-08 08:35:00,0.7,"low-tide"
2017-08-08 16:05:00,2017-08-08 15:05:00,3.3,"high-tide"
2017-08-08 22:01:00,2017-08-08 21:01:00,0.7,"low-tide"
2017-08-09 04:23:00,2017-08-09 03:23:00,3.2,"high-tide"
2017-08-09 10:09:00,2017-08-09 09:09:00,0.7,"low-tide"
2017-08-09 16:41:00,2017-08-09 15:41:00,3.4,"high-tide"
2017-08-09 22:35:00,2017-08-09 21:35:00,0.6,"low-tide"
2017-08-10 05:00:00,2017-08-10 04:00:00,3.2,"high-tide"
2017-08-10 10:45:00,2017-08-10 09:45:00,0.6,"low-tide"
2017-08-10 17:18:00,2017-08-10 16:18:00,3.4,"high-tide"
2017-08-10 23:11:00,2017-08-10 22:11:00,0.6,"low-tide"
2017-08-11 05:38:00,2017-08-11 04:38:00,3.2,"high-tide"
2017-08-11 11:23:00,2017-08-11 10:23:00,0.7,"low-tide"
2017-08-11 17:57:00,2017-08-11 16:57:00,3.3,"high-tide"
2017-08-11 23:49:00,2017-08-11 22:49:00,0.7,"low-tide"
2017-08-12 06:18:00,2017-08-12 05:18:00,3.1,"high-tide"
2017-08-12 12:04:00,2017-08-12 11:04:00,0.8,"low-tide"
2017-08-12 18:38:00,2017-08-12 17:38:00,3.2,"high-tide"
2017-08-13 00:31:00,2017-08-12 23:31:00,0.8,"low-tide"
2017-08-13 07:02:00,2017-08-13 06:02:00,3,"high-tide"
2017-08-13 12:50:00,2017-08-13 11:50:00,0.9,"low-tide"
2017-08-13 19:25:00,2017-08-13 18:25:00,3.1,"high-tide"
2017-08-14 01:20:00,2017-08-14 00:20:00,0.9,"low-tide"
2017-08-14 07:54:00,2017-08-14 06:54:00,2.9,"high-tide"
2017-08-14 13:44:00,2017-08-14 12:44:00,1,"low-tide"
2017-08-14 20:21:00,2017-08-14 19:21:00,3,"high-tide"
2017-08-15 02:17:00,2017-08-15 01:17:00,1.1,"low-tide"
2017-08-15 08:56:00,2017-08-15 07:56:00,2.8,"high-tide"
2017-08-15 14:51:00,2017-08-15 13:51:00,1.2,"low-tide"
2017-08-15 21:30:00,2017-08-15 20:30:00,2.8,"high-tide"
2017-08-16 03:30:00,2017-08-16 02:30:00,1.2,"low-tide"
2017-08-16 10:11:00,2017-08-16 09:11:00,2.8,"high-tide"
2017-08-16 16:14:00,2017-08-16 15:14:00,1.2,"low-tide"
2017-08-16 22:49:00,2017-08-16 21:49:00,2.8,"high-tide"
2017-08-17 04:54:00,2017-08-17 03:54:00,1.2,"low-tide"
2017-08-17 11:28:00,2017-08-17 10:28:00,2.9,"high-tide"
2017-08-17 17:40:00,2017-08-17 16:40:00,1.1,"low-tide"
2017-08-18 00:04:00,2017-08-17 23:04:00,2.9,"high-tide"
2017-08-18 06:10:00,2017-08-18 05:10:00,1.1,"low-tide"
2017-08-18 12:36:00,2017-08-18 11:36:00,3.1,"high-tide"
2017-08-18 18:49:00,2017-08-18 17:49:00,0.9,"low-tide"
2017-08-19 01:08:00,2017-08-19 00:08:00,3.1,"high-tide"
2017-08-19 07:11:00,2017-08-19 06:11:00,0.9,"low-tide"
2017-08-19 13:34:00,2017-08-19 12:34:00,3.3,"high-tide"
2017-08-19 19:46:00,2017-08-19 18:46:00,0.7,"low-tide"
2017-08-20 02:04:00,2017-08-20 01:04:00,3.2,"high-tide"
2017-08-20 08:03:00,2017-08-20 07:03:00,0.7,"low-tide"
2017-08-20 14:27:00,2017-08-20 13:27:00,3.4,"high-tide"
2017-08-20 20:35:00,2017-08-20 19:35:00,0.5,"low-tide"
2017-08-21 02:53:00,2017-08-21 01:53:00,3.3,"high-tide"
2017-08-21 08:49:00,2017-08-21 07:49:00,0.6,"low-tide"
2017-08-21 15:15:00,2017-08-21 14:15:00,3.6,"high-tide"
2017-08-21 21:19:00,2017-08-21 20:19:00,0.4,"low-tide"
2017-08-22 03:39:00,2017-08-22 02:39:00,3.4,"high-tide"
2017-08-22 09:32:00,2017-08-22 08:32:00,0.5,"low-tide"
2017-08-22 16:00:00,2017-08-22 15:00:00,3.6,"high-tide"
2017-08-22 22:00:00,2017-08-22 21:00:00,0.4,"low-tide"
2017-08-23 04:21:00,2017-08-23 03:21:00,3.4,"high-tide"
2017-08-23 10:11:00,2017-08-23 09:11:00,0.5,"low-tide"
2017-08-23 16:42:00,2017-08-23 15:42:00,3.6,"high-tide"
2017-08-23 22:38:00,2017-08-23 21:38:00,0.4,"low-tide"
2017-08-24 05:01:00,2017-08-24 04:01:00,3.3,"high-tide"
2017-08-24 10:49:00,2017-08-24 09:49:00,0.5,"low-tide"
2017-08-24 17:22:00,2017-08-24 16:22:00,3.5,"high-tide"
2017-08-24 23:14:00,2017-08-24 22:14:00,0.6,"low-tide"
2017-08-25 05:40:00,2017-08-25 04:40:00,3.2,"high-tide"
2017-08-25 11:25:00,2017-08-25 10:25:00,0.7,"low-tide"
2017-08-25 18:00:00,2017-08-25 17:00:00,3.3,"high-tide"
2017-08-25 23:50:00,2017-08-25 22:50:00,0.7,"low-tide"
2017-08-26 06:18:00,2017-08-26 05:18:00,3.1,"high-tide"
2017-08-26 12:02:00,2017-08-26 11:02:00,0.8,"low-tide"
2017-08-26 18:39:00,2017-08-26 17:39:00,3.1,"high-tide"
2017-08-27 00:26:00,2017-08-26 23:26:00,0.9,"low-tide"
2017-08-27 06:57:00,2017-08-27 05:57:00,2.9,"high-tide"
2017-08-27 12:41:00,2017-08-27 11:41:00,1.1,"low-tide"
2017-08-27 19:19:00,2017-08-27 18:19:00,2.9,"high-tide"
2017-08-28 01:06:00,2017-08-28 00:06:00,1.2,"low-tide"
2017-08-28 07:41:00,2017-08-28 06:41:00,2.8,"high-tide"
2017-08-28 13:26:00,2017-08-28 12:26:00,1.3,"low-tide"
2017-08-28 20:07:00,2017-08-28 19:07:00,2.7,"high-tide"
2017-08-29 01:54:00,2017-08-29 00:54:00,1.4,"low-tide"
2017-08-29 08:36:00,2017-08-29 07:36:00,2.6,"high-tide"
2017-08-29 14:28:00,2017-08-29 13:28:00,1.4,"low-tide"
2017-08-29 21:09:00,2017-08-29 20:09:00,2.5,"high-tide"
2017-08-30 03:03:00,2017-08-30 02:03:00,1.5,"low-tide"
2017-08-30 09:48:00,2017-08-30 08:48:00,2.5,"high-tide"
2017-08-30 16:03:00,2017-08-30 15:03:00,1.5,"low-tide"
2017-08-30 22:28:00,2017-08-30 21:28:00,2.5,"high-tide"
2017-08-31 04:40:00,2017-08-31 03:40:00,1.5,"low-tide"
2017-08-31 11:06:00,2017-08-31 10:06:00,2.6,"high-tide"
2017-08-31 17:35:00,2017-08-31 16:35:00,1.5,"low-tide"
2017-08-31 23:44:00,2017-08-31 22:44:00,2.5,"high-tide"
2017-09-01 05:56:00,2017-09-01 04:56:00,1.4,"low-tide"
2017-09-01 12:13:00,2017-09-01 11:13:00,2.7,"high-tide"
2017-09-01 18:35:00,2017-09-01 17:35:00,1.3,"low-tide"
2017-09-02 00:43:00,2017-09-01 23:43:00,2.6,"high-tide"
2017-09-02 06:48:00,2017-09-02 05:48:00,1.3,"low-tide"
2017-09-02 13:04:00,2017-09-02 12:04:00,2.9,"high-tide"
2017-09-02 19:20:00,2017-09-02 18:20:00,1.1,"low-tide"
2017-09-03 01:29:00,2017-09-03 00:29:00,2.8,"high-tide"
2017-09-03 07:28:00,2017-09-03 06:28:00,1.1,"low-tide"
2017-09-03 13:47:00,2017-09-03 12:47:00,3,"high-tide"
2017-09-03 19:57:00,2017-09-03 18:57:00,1,"low-tide"
2017-09-04 02:08:00,2017-09-04 01:08:00,3,"high-tide"
2017-09-04 08:04:00,2017-09-04 07:04:00,0.9,"low-tide"
2017-09-04 14:26:00,2017-09-04 13:26:00,3.2,"high-tide"
2017-09-04 20:30:00,2017-09-04 19:30:00,0.8,"low-tide"
2017-09-05 02:46:00,2017-09-05 01:46:00,3.1,"high-tide"
2017-09-05 08:38:00,2017-09-05 07:38:00,0.8,"low-tide"
2017-09-05 15:03:00,2017-09-05 14:03:00,3.3,"high-tide"
2017-09-05 21:03:00,2017-09-05 20:03:00,0.6,"low-tide"
2017-09-06 03:23:00,2017-09-06 02:23:00,3.2,"high-tide"
2017-09-06 09:12:00,2017-09-06 08:12:00,0.6,"low-tide"
2017-09-06 15:40:00,2017-09-06 14:40:00,3.4,"high-tide"
2017-09-06 21:36:00,2017-09-06 20:36:00,0.5,"low-tide"
